x,y
-86.99312063161418,-871027.9312873583
64.46284390622601,703972.7425744836
-91.83933866505707,-991413.5395115472
15.36717432511223,7869.572567093512
86.85617019555055,1852995.6383540882
-35.81773899131036,-82248.417234971
-13.49307748216264,-5019.612609342932
-24.756454715100972,-28850.939199739296
22.17404528598841,24385.304406600175
-25.915652286420475,-32880.55715012747
-28.42963902662956,-42810.58935087328
-53.80654274078469,-252649.5356177616
76.55585781355666,1227677.781924153
41.98600380146147,179422.60357193212
-55.62407296871918,-276264.62484864827
65.8494358968284,753932.6119478155
21.435505056539306,21957.96405602878
-85.0168886694291,-823830.3520554953
-25.289263630463267,-30661.676876721034
-47.89353207893177,-184144.74558040794
53.052566605070965,377058.0943746623
-7.006631408223241,-753.7806834884921
-98.87289512267432,-1176640.7283180442
-30.306123041030574,-51332.62451541521
15.084487946878777,7432.9969193915185
82.99149471982854,1596833.1176850833
47.6348783741837,267617.81294011505
40.65368179538837,162052.83127544366
-35.53431485478129,-80436.85277334998
75.71449270495967,1184386.1344527444
-35.63620388180093,-81088.86472438417
80.04821785846075,1419447.5594412843
-71.38609373262004,-532094.6984508501
21.048325496491227,20753.25513848761
-63.430308394060674,-391577.9422133381
71.82359644849623,998136.0184573974
-75.20378717852194,-607539.5435974101
45.75468954425001,235516.63506335375
-55.07693804723473,-269026.94280001323
-55.117784767775355,-269564.65582346014
44.67659959217962,218376.05412044335
-22.746209651721273,-22637.648090413455
21.634835479105185,22595.575896124774
-85.28056382206188,-830067.6960039372
-35.148610067912855,-78008.84456884961
55.90601224382501,445736.60862303467
-66.8492735607089,-449151.9525556963
-30.349314745550828,-51537.771475613685
-36.376309177740126,-85900.49865330117
-16.283697172644416,-8643.031756579114
7.010123658992717,729.4267946371954
75.60967419219327,1179067.7002775213
-14.226874079661322,-5847.835256435384
32.972445596779124,83898.22245983405
-65.63168789678208,-428159.8151628669
-99.80855625151293,-1202097.1024097553
-65.29487371186823,-422445.0140953752
-40.31598244327965,-114480.28728497295
-89.36816306988906,-929224.7958619902
43.274376427476334,197413.28249337332
61.23620631325157,596808.3615658884
-86.95882673341886,-870195.509917454
-71.32698040334023,-530967.4804102116
-39.80915257166095,-110518.9580729548
-4.235589077792623,-176.42876903972618
43.65758021060482,202994.6211796766
-92.52714940559336,-1009008.3174626924
17.654854573437607,12060.847709467273
82.29035366467625,1553227.0054429092
9.683296505371096,1921.5389019289087
-29.68020256966146,-48380.92813934589
-42.71944980706599,-134436.19016431484
3.1653987411449647,80.00668651780141
-25.447880863725715,-31211.82232712791
24.49046777522126,33187.94409495541
9.482540362848146,1804.1835395095627
64.37686419263989,700951.5522312885
-90.39104060701462,-954772.5069068092
